18-09-12: asset: BTCUSDT, rsi: 35.2115, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-09-24: asset: BTCUSDT, rsi: 35.2115, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-09-35: asset: BTCUSDT, rsi: 35.2115, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-09-47: asset: BTCUSDT, rsi: 35.2115, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-09-59: asset: BTCUSDT, rsi: 35.2115, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-10-10: asset: BTCUSDT, rsi: 35.2176, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-10-22: asset: BTCUSDT, rsi: 31.3606, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-10-34: asset: BTCUSDT, rsi: 31.3606, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-10-45: asset: BTCUSDT, rsi: 31.3606, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-10-57: asset: BTCUSDT, rsi: 31.3606, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-11-08: asset: BTCUSDT, rsi: 31.4335, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-11-20: asset: BTCUSDT, rsi: 34.4141, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-11-31: asset: BTCUSDT, rsi: 31.4335, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-11-43: asset: BTCUSDT, rsi: 46.5899, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-11-54: asset: BTCUSDT, rsi: 29.8526, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-12-06: asset: BTCUSDT, rsi: 28.3906, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-12-18: asset: BTCUSDT, rsi: 26.4183, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-12-29: asset: BTCUSDT, rsi: 26.4183, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-12-41: asset: BTCUSDT, rsi: 26.4183, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-12-52: asset: BTCUSDT, rsi: 27.5302, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-13-04: asset: BTCUSDT, rsi: 28.4055, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-13-16: asset: BTCUSDT, rsi: 33.1464, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-13-27: asset: BTCUSDT, rsi: 33.1464, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-13-39: asset: BTCUSDT, rsi: 33.1464, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-13-50: asset: BTCUSDT, rsi: 33.1464, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-14-01: asset: BTCUSDT, rsi: 33.2115, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-14-13: asset: BTCUSDT, rsi: 37.9832, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-14-25: asset: BTCUSDT, rsi: 37.9832, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-14-37: asset: BTCUSDT, rsi: 38.3647, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-14-48: asset: BTCUSDT, rsi: 38.8109, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-15-00: asset: BTCUSDT, rsi: 39.9651, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-15-11: asset: BTCUSDT, rsi: 39.2639, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-15-23: asset: BTCUSDT, rsi: 39.5885, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-15-34: asset: BTCUSDT, rsi: 37.4041, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-15-45: asset: BTCUSDT, rsi: 39.6726, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-15-57: asset: BTCUSDT, rsi: 36.2938, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-16-09: asset: BTCUSDT, rsi: 35.0454, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-16-20: asset: BTCUSDT, rsi: 34.8689, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-16-32: asset: BTCUSDT, rsi: 35.8252, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-16-43: asset: BTCUSDT, rsi: 35.8252, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-16-54: asset: BTCUSDT, rsi: 37.5718, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-17-06: asset: BTCUSDT, rsi: 37.3353, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-17-18: asset: BTCUSDT, rsi: 36.2689, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-17-29: asset: BTCUSDT, rsi: 32.6863, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-17-40: asset: BTCUSDT, rsi: 31.9799, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-17-52: asset: BTCUSDT, rsi: 31.4172, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-18-03: asset: BTCUSDT, rsi: 30.5876, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-18-15: asset: BTCUSDT, rsi: 31.5216, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-18-26: asset: BTCUSDT, rsi: 29.8891, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
